updated_type,updated_subtype,latitude,longitude,count
Accident,Major,41.9,-87.66,360
Accident,Major,41.87,-87.64,225
Accident,Major,41.88,-87.65,192
Accident,Major,41.86,-87.64,161
Accident,Major,41.85,-87.64,157
Accident,Major,41.89,-87.65,145
Accident,Major,41.81,-87.63,143
Accident,Major,41.78,-87.63,135
Accident,Major,41.88,-87.66,123
Accident,Major,41.84,-87.63,119
Accident,Minor,41.89,-87.65,66
Accident,Minor,41.9,-87.62,58
Accident,Minor,41.88,-87.65,56
Accident,Minor,41.86,-87.64,52
Accident,Minor,41.9,-87.66,47
Accident,Minor,41.85,-87.64,45
Accident,Minor,41.95,-87.72,39
Accident,Minor,41.96,-87.74,38
Accident,Minor,41.92,-87.67,36
Accident,Minor,41.87,-87.64,35
Accident,Unclassified,41.9,-87.66,561
Accident,Unclassified,41.88,-87.65,536
Accident,Unclassified,41.89,-87.65,452
Accident,Unclassified,41.9,-87.62,437
Accident,Unclassified,41.85,-87.64,363
Accident,Unclassified,41.86,-87.64,352
Accident,Unclassified,41.87,-87.64,340
Accident,Unclassified,41.81,-87.63,307
Accident,Unclassified,41.97,-87.75,279
Accident,Unclassified,41.84,-87.63,268
Hazard,On_road,41.88,-87.67,2060
Hazard,On_road,41.88,-87.65,1743
Hazard,On_road,41.89,-87.65,1534
Hazard,On_road,41.86,-87.64,1456
Hazard,On_road,41.87,-87.64,1389
Hazard,On_road,41.88,-87.62,1355
Hazard,On_road,41.81,-87.63,1228
Hazard,On_road,41.84,-87.63,1222
Hazard,On_road,41.99,-87.66,1217
Hazard,On_road,41.97,-87.75,1209
Hazard,On_shoulder,41.84,-87.63,3388
Hazard,On_shoulder,41.82,-87.63,3208
Hazard,On_shoulder,41.89,-87.65,2877
Hazard,On_shoulder,41.88,-87.65,2826
Hazard,On_shoulder,41.8,-87.63,2816
Hazard,On_shoulder,41.97,-87.75,2788
Hazard,On_shoulder,41.79,-87.63,2754
Hazard,On_shoulder,41.83,-87.63,2704
Hazard,On_shoulder,41.81,-87.63,2641
Hazard,On_shoulder,41.66,-87.59,2498
Hazard,Unclassified,41.99,-87.82,276
Hazard,Unclassified,41.98,-87.81,156
Hazard,Unclassified,41.99,-87.81,127
Hazard,Unclassified,41.97,-87.81,121
Hazard,Unclassified,41.98,-87.82,115
Hazard,Unclassified,41.81,-87.63,57
Hazard,Unclassified,41.84,-87.63,56
Hazard,Unclassified,41.98,-87.84,55
Hazard,Unclassified,41.85,-87.63,45
Hazard,Unclassified,41.85,-87.64,42
Hazard,Weather,41.66,-87.59,221
Hazard,Weather,41.91,-87.63,117
Hazard,Weather,41.85,-87.64,83
Hazard,Weather,41.99,-87.66,79
Hazard,Weather,41.9,-87.62,77
Hazard,Weather,41.88,-87.65,73
Hazard,Weather,41.65,-87.58,71
Hazard,Weather,41.69,-87.6,67
Hazard,Weather,41.96,-87.65,64
Hazard,Weather,41.83,-87.69,59
Jam,Heavy_traffic,41.9,-87.66,4323
Jam,Heavy_traffic,41.88,-87.65,4214
Jam,Heavy_traffic,41.89,-87.65,4194
Jam,Heavy_traffic,41.96,-87.74,2945
Jam,Heavy_traffic,41.97,-87.76,2752
Jam,Heavy_traffic,41.94,-87.71,2731
Jam,Heavy_traffic,41.93,-87.69,2514
Jam,Heavy_traffic,41.92,-87.67,2458
Jam,Heavy_traffic,41.98,-87.78,2428
Jam,Heavy_traffic,41.97,-87.75,2399
Jam,Light_traffic,41.84,-87.71,1
Jam,Light_traffic,41.86,-87.62,1
Jam,Light_traffic,41.88,-87.63,1
Jam,Light_traffic,41.88,-87.62,1
Jam,Light_traffic,41.92,-87.81,1
Jam,Moderate_traffic,41.92,-87.67,91
Jam,Moderate_traffic,41.9,-87.66,88
Jam,Moderate_traffic,41.89,-87.65,70
Jam,Moderate_traffic,41.97,-87.75,69
Jam,Moderate_traffic,41.92,-87.68,65
Jam,Moderate_traffic,41.98,-87.79,65
Jam,Moderate_traffic,41.94,-87.71,64
Jam,Moderate_traffic,41.93,-87.69,63
Jam,Moderate_traffic,41.82,-87.73,60
Jam,Moderate_traffic,41.88,-87.65,60
Jam,Stand_still_traffic,41.88,-87.65,4666
Jam,Stand_still_traffic,41.89,-87.65,4278
Jam,Stand_still_traffic,41.9,-87.66,3563
Jam,Stand_still_traffic,41.97,-87.76,2503
Jam,Stand_still_traffic,41.98,-87.75,2347
Jam,Stand_still_traffic,41.96,-87.74,2287
Jam,Stand_still_traffic,41.97,-87.75,2079
Jam,Stand_still_traffic,41.94,-87.71,1983
Jam,Stand_still_traffic,41.95,-87.73,1972
Jam,Stand_still_traffic,41.98,-87.78,1913
Jam,Unclassified,41.89,-87.65,1086
Jam,Unclassified,41.9,-87.66,973
Jam,Unclassified,41.88,-87.65,944
Jam,Unclassified,41.94,-87.71,624
Jam,Unclassified,41.92,-87.67,612
Jam,Unclassified,41.98,-87.79,610
Jam,Unclassified,41.98,-87.78,604
Jam,Unclassified,41.93,-87.69,593
Jam,Unclassified,41.85,-87.64,582
Jam,Unclassified,41.91,-87.66,581
Road_closed,Construction,41.88,-87.65,15
Road_closed,Construction,41.9,-87.66,12
Road_closed,Construction,41.96,-87.69,5
Road_closed,Construction,41.97,-87.73,5
Road_closed,Construction,41.87,-87.64,4
Road_closed,Construction,41.89,-87.69,4
Road_closed,Construction,41.94,-87.65,4
Road_closed,Construction,41.97,-87.74,4
Road_closed,Construction,41.83,-87.64,3
Road_closed,Construction,41.94,-87.66,3
Road_closed,Event,41.96,-87.75,9907
Road_closed,Event,41.88,-87.65,5002
Road_closed,Event,41.84,-87.63,4974
Road_closed,Event,41.69,-87.6,4964
Road_closed,Event,41.89,-87.65,4964
Road_closed,Event,41.71,-87.64,4947
Road_closed,Event,41.97,-87.75,4932
Road_closed,Event,41.88,-87.62,291
Road_closed,Event,41.87,-87.62,233
Road_closed,Event,41.94,-87.64,116
Road_closed,Hazard,41.98,-87.66,2
Road_closed,Hazard,41.76,-87.71,1
Road_closed,Hazard,41.77,-87.68,1
Road_closed,Hazard,41.83,-87.64,1
Road_closed,Hazard,41.84,-87.67,1
Road_closed,Hazard,41.89,-87.65,1
Road_closed,Hazard,41.89,-87.62,1
Road_closed,Hazard,41.93,-87.67,1
Road_closed,Hazard,41.97,-87.73,1
Road_closed,Hazard,41.99,-87.75,1
Road_closed,Unclassified,41.88,-87.65,979
Road_closed,Unclassified,41.9,-87.66,585
Road_closed,Unclassified,41.88,-87.62,420
Road_closed,Unclassified,41.9,-87.63,384
Road_closed,Unclassified,41.87,-87.62,367
Road_closed,Unclassified,41.95,-87.65,329
Road_closed,Unclassified,41.94,-87.65,314
Road_closed,Unclassified,41.87,-87.64,257
Road_closed,Unclassified,41.89,-87.65,254
Road_closed,Unclassified,41.96,-87.7,250
