updated_type,updated_subtype,hour,latitude,longitude,count
Accident,Major,00:00,41.86,-87.64,10
Accident,Major,00:00,41.87,-87.64,10
Accident,Major,00:00,41.88,-87.65,9
Accident,Major,00:00,41.9,-87.66,9
Accident,Major,00:00,41.71,-87.61,7
Accident,Major,00:00,41.98,-87.81,7
Accident,Major,00:00,41.78,-87.63,6
Accident,Major,00:00,41.76,-87.63,5
Accident,Major,00:00,41.88,-87.64,5
Accident,Major,00:00,41.97,-87.77,5
Accident,Major,01:00,41.78,-87.63,12
Accident,Major,01:00,41.88,-87.65,11
Accident,Major,01:00,41.87,-87.64,9
Accident,Major,01:00,41.86,-87.64,8
Accident,Major,01:00,41.89,-87.65,8
Accident,Major,01:00,41.9,-87.66,7
Accident,Major,01:00,41.85,-87.63,6
Accident,Major,01:00,41.87,-87.72,6
Accident,Major,01:00,41.83,-87.71,5
Accident,Major,01:00,41.91,-87.66,5
Accident,Major,02:00,41.86,-87.64,11
Accident,Major,02:00,41.81,-87.63,9
Accident,Major,02:00,41.9,-87.66,9
Accident,Major,02:00,41.85,-87.64,8
Accident,Major,02:00,41.87,-87.64,6
Accident,Major,02:00,41.88,-87.65,6
Accident,Major,02:00,41.79,-87.63,5
Accident,Major,02:00,41.84,-87.63,5
Accident,Major,02:00,41.85,-87.65,5
Accident,Major,02:00,41.87,-87.77,5
Accident,Major,03:00,41.88,-87.65,14
Accident,Major,03:00,41.86,-87.64,12
Accident,Major,03:00,41.9,-87.66,12
Accident,Major,03:00,41.89,-87.65,11
Accident,Major,03:00,41.78,-87.63,9
Accident,Major,03:00,41.81,-87.63,9
Accident,Major,03:00,41.87,-87.64,9
Accident,Major,03:00,41.84,-87.63,8
Accident,Major,03:00,41.8,-87.63,7
Accident,Major,03:00,41.91,-87.67,6
Accident,Major,04:00,41.88,-87.65,15
Accident,Major,04:00,41.85,-87.64,11
Accident,Major,04:00,41.8,-87.63,10
Accident,Major,04:00,41.87,-87.64,10
Accident,Major,04:00,41.9,-87.66,9
Accident,Major,04:00,41.79,-87.63,7
Accident,Major,04:00,41.81,-87.63,6
Accident,Major,04:00,41.84,-87.63,6
Accident,Major,04:00,41.86,-87.64,6
Accident,Major,04:00,41.82,-87.63,5
Accident,Major,05:00,41.88,-87.65,17
